"Region","Area","Provinces","Municipalities","Deaths","Prop"
"Piemonte","North","8","1,181","290,673","94.1%"
"Valle d'Aosta","North","1","74","8,028","91.9%"
"Lombardia","North","12","1,506","557,629","97.3%"
"Trentino-Alto Adige","North","2","282","52,023","91.8%"
"Veneto","North","7","563","266,113","89.9%"
"Friuli-Venezia Giulia","North","4","215","79,202","93.5%"
"Liguria","North","4","234","119,734","93.6%"
"Emilia-Romagna","North","9","328","276,658","92.7%"
"Toscana","Central","10","273","237,344","89.4%"
"Umbria","Central","2","92","56,255","94.6%"
"Marche","Central","5","228","96,193","89.5%"
"Lazio","Central","5","378","312,471","82.5%"
"Abruzzo","South","4","305","82,068","91.5%"
"Molise","South","2","136","20,542","91.9%"
"Campania","South","5","550","295,831","88.7%"
"Puglia","South","6","257","213,180","91.1%"
"Basilicata","South","2","131","34,405","93.1%"
"Calabria","South","5","404","109,453","91.1%"
"Sicilia","Islands","9","390","284,990","83.3%"
"Sardegna","Islands","5","377","89,919","92.3%"
"Italy","","107","7,904","3,482,711","92.0%"
